Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2014-12-16,15735.0,2361.0,500.0,45.0,6748.0,14508.0,9154.0,15053.0,6581.0,683.0
2014-12-09,12819.0,2411.0,615.0,4.0,6920.0,11580.0,9335.0,12199.0,3484.0,620.0
2014-03-18,14126.0,4052.0,415.0,0.0,8861.0,13145.0,12913.0,13560.0,1213.0,566.0
2014-02-11,13389.0,3895.0,500.0,0.0,8459.0,11343.0,12354.0,11843.0,1035.0,1546.0
2013-12-17,16827.0,4018.0,320.0,461.0,11145.0,14964.0,15624.0,15745.0,1203.0,1082.0
2013-12-10,14568.0,3970.0,522.0,41.0,8927.0,13445.0,12938.0,14008.0,1629.0,559.0
2013-12-03,14572.0,3985.0,522.0,9.0,8927.0,13445.0,12921.0,13976.0,1651.0,596.0
2013-11-26,13824.0,4148.0,320.0,1.0,8179.0,12697.0,12328.0,13018.0,1496.0,806.0
2013-11-19,14011.0,4120.0,320.0,2.0,8429.0,12947.0,12551.0,13269.0,1461.0,743.0
2013-11-12,13942.0,4115.0,320.0,2.0,8529.0,12947.0,12646.0,13269.0,1296.0,673.0
2013-11-05,13616.0,4167.0,645.0,1.0,7829.0,12447.0,11997.0,13093.0,1619.0,523.0
2013-10-29,12843.0,4155.0,627.0,1.0,7109.0,11727.0,11265.0,12355.0,1578.0,488.0
2013-10-22,12608.0,4171.0,642.0,1.0,6859.0,11477.0,11032.0,12120.0,1576.0,488.0
2013-10-15,11571.0,4185.0,644.0,2.0,5659.0,10478.0,9847.0,11124.0,1724.0,446.0
2013-09-17,16258.0,2811.0,1024.0,1036.0,7092.0,12541.0,10939.0,14601.0,5319.0,1657.0
2013-09-10,13681.0,2568.0,230.0,3.0,6209.0,12158.0,8780.0,12391.0,4901.0,1290.0
2013-03-12,21412.0,2092.0,197.0,801.0,16923.0,17173.0,19815.0,18171.0,1596.0,3241.0
2012-12-18,16356.0,7207.0,79.0,338.0,7696.0,14745.0,15241.0,15162.0,1116.0,1195.0
2012-06-12,24012.0,5355.0,1129.0,187.0,15388.0,17195.0,20930.0,18511.0,3082.0,5501.0
2012-06-05,20582.0,5238.0,1140.0,43.0,13884.0,15595.0,19165.0,16778.0,1417.0,3804.0
2012-05-29,17526.0,5241.0,1149.0,17.0,10846.0,12623.0,16104.0,13788.0,1422.0,3738.0
2012-05-22,16263.0,5208.0,2137.0,20.0,9611.0,11329.0,14839.0,13486.0,1424.0,2777.0
2012-03-13,20082.0,2851.0,2224.0,1913.0,13328.0,14455.0,18092.0,18592.0,1990.0,1490.0
2011-12-13,26843.0,3228.0,761.0,3961.0,17898.0,19151.0,25087.0,23873.0,1757.0,2970.0
2011-12-06,18747.0,3006.0,1256.0,440.0,13642.0,14368.0,17088.0,16064.0,1659.0,2683.0
2011-11-29,17715.0,3029.0,1236.0,425.0,12642.0,13387.0,16097.0,15048.0,1618.0,2667.0
2011-11-22,17687.0,3019.0,1218.0,425.0,12642.0,13392.0,16086.0,15036.0,1602.0,2652.0
2011-11-01,14874.0,3251.0,1224.0,205.0,9543.0,9778.0,12999.0,11207.0,1875.0,3666.0
2011-10-25,14447.0,3297.0,1249.0,204.0,9145.0,9380.0,12646.0,10833.0,1801.0,3614.0
2011-10-18,12466.0,3146.0,1249.0,3.0,7733.0,10164.0,10882.0,11416.0,1584.0,1050.0
2011-10-04,12424.0,2964.0,1359.0,5.0,7733.0,10174.0,10702.0,11538.0,1722.0,886.0
2011-09-27,13696.0,2958.0,1349.0,4.0,9276.0,11573.0,12238.0,12926.0,1458.0,770.0
2011-09-13,15903.0,2168.0,2482.0,937.0,9819.0,10541.0,12924.0,13960.0,2979.0,1943.0
2011-09-06,14269.0,2464.0,2460.0,38.0,9002.0,9721.0,11504.0,12219.0,2765.0,2050.0
