"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230711,2023-07-11,090741,CME ,00,090 ,  151701,   31096,   31934,    2278,   43987,   47572,    4556,   21520,   31133,    8622,    4770,    1348,     118,  116948,  127561,   34753,   24140,  -16529,    1092,  -10676,    -463,   -7756,    3976,    -320,   -6741,  -11853,     976,    -541,     -53,     -12,  -13766,  -18425,   -2763,    1896,  100.0,   20.5,   21.1,    1.5,   29.0,   31.4,    3.0,   14.2,   20.5,    5.7,    3.1,    0.9,    0.1,   77.1,   84.1,   22.9,   15.9,     97,      4,      6,      4,     19,     21,     13,     20,     19,     14,      5,.,.,     64,     66,    31.6,    29.3,    42.3,    41.5,    31.5,    29.1,    40.6,    41.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230703,2023-07-03,090741,CME ,00,090 ,  168230,   30005,   42610,    2741,   51743,   43595,    4876,   28261,   42986,    7647,    5311,    1401,     130,  130714,  145986,   37516,   22244,  -13042,    -603,    3569,     149,   -7034,     364,    -846,    1306,  -15165,     -64,     166,     -53,     -51,   -6976,  -12096,   -6066,    -946,  100.0,   17.8,   25.3,    1.6,   30.8,   25.9,    2.9,   16.8,   25.6,    4.5,    3.2,    0.8,    0.1,   77.7,   86.8,   22.3,   13.2,    107,      4,      8,      6,     22,     18,     13,     22,     25,     12,      5,.,.,     73,     67,    30.6,    30.5,    42.9,    42.7,    30.6,    30.3,    42.4,    42.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230627,2023-06-27,090741,CME ,00,090 ,  181272,   30607,   39041,    2592,   58777,   43231,    5721,   26955,   58151,    7711,    5145,    1453,     181,  137690,  158082,   43582,   23190,  -16318,  -19496,   27734,  -24368,   18319,   -5753,     597,    7020,  -10909,   -1590,    -158,    -513,     -14,  -19691,  -14817,    3373,   -1501,  100.0,   16.9,   21.5,    1.4,   32.4,   23.8,    3.2,   14.9,   32.1,    4.3,    2.8,    0.8,    0.1,   76.0,   87.2,   24.0,   12.8,    106,      5,      8,      6,     20,     18,     13,     20,     27,     13,      5,.,.,     72,     68,    31.3,    29.7,    43.6,    41.6,    31.1,    29.7,    43.2,    41.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230620,2023-06-20,090741,CME ,00,090 ,  197590,   50103,   11308,   26960,   40458,   48984,    5125,   19935,   69060,    9301,    5303,    1966,     195,  157381,  172899,   40209,   24691,   19649,   -7758,    5256,   18724,   11209,   -9036,     854,    7903,   23051,  -13123,     135,     -65,    -533,   17411,   25128,    2238,   -5479,  100.0,   25.4,    5.7,   13.6,   20.5,   24.8,    2.6,   10.1,   35.0,    4.7,    2.7,    1.0,    0.1,   79.7,   87.5,   20.3,   12.5,    115,     10,      5,     10,     19,     22,     12,     18,     30,     15,      5,      5,.,     76,     79,    33.7,    30.9,    47.0,    41.8,    21.4,    23.8,    34.2,    33.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230613,2023-06-13,090741,CME ,00,090 ,  177941,   57861,    6052,    8236,   29249,   58020,    4271,   12032,   46009,   22424,    5168,    2031,     728,  139969,  147770,   37972,   30171,   -1137,  -12257,    2662,    4448,    1991,  -25156,    -354,   -6156,   12584,    6157,     -27,     289,     587,   -5611,    1217,    4474,   -2354,  100.0,   32.5,    3.4,    4.6,   16.4,   32.6,    2.4,    6.8,   25.9,   12.6,    2.9,    1.1,    0.4,   78.7,   83.0,   21.3,   17.0,    104,     11,      4,     10,     13,     23,     10,     15,     25,     17,      7,      5,      4,     66,     79,    29.5,    22.7,    45.6,    35.1,    26.8,    19.9,    40.2,    30.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230606,2023-06-06,090741,CME ,00,090 ,  179078,   70118,    3390,    3788,   27258,   83176,    4625,   18189,   33425,   16267,    5195,    1743,     141,  145580,  146554,   33498,   32524,  -11247,    3967,     460,    -249,   -3480,    1485,     204,  -11591,   -8081,     442,   -4799,    -811,     107,  -15397,   -6442,    4150,   -4805,  100.0,   39.2,    1.9,    2.1,   15.2,   46.4,    2.6,   10.2,   18.7,    9.1,    2.9,    1.0,    0.1,   81.3,   81.8,   18.7,   18.2,    101,     12,.,      8,     11,     29,     11,     17,     18,     12,      7,      4,.,     58,     77,    33.0,    22.5,    47.6,    35.7,    32.6,    22.5,    45.3,    35.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230530,2023-05-30,090741,CME ,00,090 ,  190325,   66151,    2930,    4037,   30738,   81691,    4421,   29780,   41506,   15825,    9994,    2553,      34,  160978,  152996,   29347,   37329,   21938,    1886,       0,     377,    2851,    7223,    -383,   14277,    4952,    5354,    1215,    -368,       0,   25578,   17154,   -3640,    4784,  100.0,   34.8,    1.5,    2.1,   16.1,   42.9,    2.3,   15.6,   21.8,    8.3,    5.3,    1.3,    0.0,   84.6,   80.4,   15.4,   19.6,    109,     12,.,      6,     13,     24,     11,     15,     29,     16,     10,      4,.,     63,     80,    30.3,    20.6,    44.6,    32.2,    29.9,    20.6,    43.0,    31.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230523,2023-05-23,090741,CME ,00,090 ,  168387,   64265,    2930,    3660,   27886,   74468,    4804,   15502,   36553,   10470,    8778,    2922,      34,  135400,  135842,   32987,   32545,   -2141,    5287,       0,     -20,     637,   -2054,     415,   -8701,    -698,     290,    -407,     510,       0,   -2499,   -1556,     358,    -585,  100.0,   38.2,    1.7,    2.2,   16.6,   44.2,    2.9,    9.2,   21.7,    6.2,    5.2,    1.7,    0.0,   80.4,   80.7,   19.6,   19.3,    104,     13,.,      6,     15,     22,     12,     15,     26,     12,      8,      4,.,     61,     74,    32.9,    23.7,    46.6,    37.1,    32.4,    23.7,    45.3,    36.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230516,2023-05-16,090741,CME ,00,090 ,  170528,   58978,    2930,    3680,   27249,   76522,    4389,   24203,   37251,   10181,    9185,    2412,      34,  137899,  137398,   32629,   33130,    1840,    4395,   -1293,     825,     -14,    4249,      99,   -2521,   -3624,     420,    -825,     -28,      -8,    2370,     639,    -530,    1201,  100.0,   34.6,    1.7,    2.2,   16.0,   44.9,    2.6,   14.2,   21.8,    6.0,    5.4,    1.4,    0.0,   80.9,   80.6,   19.1,   19.4,    102,     12,.,      5,     13,     24,     12,     19,     21,     14,      8,      4,.,     65,     69,    29.9,    24.5,    43.8,    37.7,    29.5,    24.5,    42.4,    37.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230509,2023-05-09,090741,CME ,00,090 ,  168688,   54583,    4223,    2855,   27263,   72273,    4290,   26724,   40875,    9761,   10011,    2439,      42,  135529,  136759,   33159,   31929,  -12935,  -13018,    1293,    -283,    1554,  -10480,     -21,    2224,    3847,   -3299,   -2187,     315,       0,  -15031,   -8628,    2096,   -4307,  100.0,   32.4,    2.5,    1.7,   16.2,   42.8,    2.5,   15.8,   24.2,    5.8,    5.9,    1.4,    0.0,   80.3,   81.1,   19.7,   18.9,    108,     12,.,      5,     12,     25,     13,     20,     24,     14,      9,      4,.,     69,     72,    28.2,    23.0,    42.5,    35.6,    28.0,    22.7,    41.3,    35.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
