"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221227,2022-12-27,090741,CME ,00,090 ,  140544,   38857,    5152,     645,   29863,   56104,    5510,   16329,   35658,    4264,   14297,    4039,     504,  110269,  111876,   30275,   28668,  -40313,    1179,  -10386,  -18570,    1741,   -7683,      87,  -19415,    1957,    -448,    -380,   -3131,     -14,  -35820,  -38188,   -4493,   -2125,  100.0,   27.6,    3.7,    0.5,   21.2,   39.9,    3.9,   11.6,   25.4,    3.0,   10.2,    2.9,    0.4,   78.5,   79.6,   21.5,   20.4,    108,     12,.,.,     12,     23,     10,     11,     33,     11,     11,.,.,     60,     71,    27.2,    20.6,    42.2,    31.5,    27.2,    20.6,    40.9,    31.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221220,2022-12-20,090741,CME ,00,090 ,  180857,   37678,   15538,   19215,   28122,   63787,    5423,   35744,   33701,    4712,   14677,    7170,     518,  146089,  150064,   34768,   30793,   11424,    -745,     -21,    3093,     975,    4451,    -292,    8218,    5274,   -1885,    -618,    -223,      -1,    8745,   10396,    2679,    1028,  100.0,   20.8,    8.6,   10.6,   15.5,   35.3,    3.0,   19.8,   18.6,    2.6,    8.1,    4.0,    0.3,   80.8,   83.0,   19.2,   17.0,    110,     10,      5,      5,     11,     24,     11,     14,     29,     11,     12,      5,.,     63,     75,    23.0,    22.7,    38.0,    35.3,    23.0,    17.5,    33.3,    27.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221213,2022-12-13,090741,CME ,00,090 ,  169433,   38423,   15559,   16122,   27147,   59336,    5715,   27526,   28427,    6597,   15295,    7393,     519,  137344,  139668,   32089,   29765,   20542,    4982,    1680,   13819,    -794,    6978,     417,    1525,    2028,   -1391,     674,   -1160,     205,   19437,   22576,    1105,   -2034,  100.0,   22.7,    9.2,    9.5,   16.0,   35.0,    3.4,   16.2,   16.8,    3.9,    9.0,    4.4,    0.3,   81.1,   82.4,   18.9,   17.6,    111,     10,      5,      7,     12,     22,     10,     16,     28,     13,     13,      5,.,     67,     76,    23.5,    22.0,    35.4,    33.4,    22.6,    18.4,    32.7,    28.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221206,2022-12-06,090741,CME ,00,090 ,  148891,   33441,   13879,    2303,   27941,   52358,    5298,   26001,   26399,    7988,   14621,    8553,     314,  117907,  117092,   30984,   31799,   12237,   12340,   -1435,     895,   -9288,   11472,    -605,    4970,   -4336,    5616,     433,    -226,     267,   14628,   11648,   -2391,     589,  100.0,   22.5,    9.3,    1.5,   18.8,   35.2,    3.6,   17.5,   17.7,    5.4,    9.8,    5.7,    0.2,   79.2,   78.6,   20.8,   21.4,    108,     11,      4,      4,     10,     24,      7,     18,     25,     17,     11,      5,      4,     61,     79,    27.0,    18.9,    40.7,    29.7,    26.4,    18.5,    37.1,    29.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221129,2022-11-29,090741,CME ,00,090 ,  136654,   21101,   15314,    1408,   37229,   40886,    5903,   21031,   30735,    2372,   14188,    8779,      47,  103279,  105444,   33375,   31210,    1753,   -1188,     402,      55,   -5934,    -457,     273,    6525,    2472,    -409,    -531,    -388,       0,   -1209,    1948,    2962,    -195,  100.0,   15.4,   11.2,    1.0,   27.2,   29.9,    4.3,   15.4,   22.5,    1.7,   10.4,    6.4,    0.0,   75.6,   77.2,   24.4,   22.8,    109,     10,      5,.,     13,     19,      7,     18,     28,     13,     11,      5,.,     64,     69,    22.1,    18.8,    35.6,    28.6,    21.7,    18.8,    33.8,    27.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221122,2022-11-22,090741,CME ,00,090 ,  134901,   22289,   14912,    1353,   43163,   41343,    5630,   14506,   28263,    2781,   14719,    9167,      47,  104488,  103496,   30413,   31405,   -4852,   -3916,    -760,      53,    -943,   -3537,     -60,    -318,   -1801,     817,    -420,     818,       0,   -4787,   -4470,     -65,    -382,  100.0,   16.5,   11.1,    1.0,   32.0,   30.6,    4.2,   10.8,   21.0,    2.1,   10.9,    6.8,    0.0,   77.5,   76.7,   22.5,   23.3,     99,     10,      4,.,     11,     19,      5,     16,     24,     14,     12,.,.,     58,     64,    28.2,    19.9,    40.9,    30.2,    27.4,    19.9,    38.9,    29.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221115,2022-11-15,090741,CME ,00,090 ,  139753,   26205,   15672,    1300,   44106,   44880,    5690,   14824,   30064,    1964,   15139,    8349,      47,  109275,  107966,   30478,   31787,   -7802,   -4666,    1062,      -9,    -795,   -2033,      16,   -2103,   -7867,    -285,     -68,    -637,       0,   -7910,   -9753,     108,    1951,  100.0,   18.8,   11.2,    0.9,   31.6,   32.1,    4.1,   10.6,   21.5,    1.4,   10.8,    6.0,    0.0,   78.2,   77.3,   21.8,   22.7,    106,     10,      5,.,     12,     24,      5,     15,     25,     10,     12,.,.,     57,     68,    29.4,    17.7,    41.5,    28.6,    28.9,    17.7,    39.7,    28.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221108,2022-11-08,090741,CME ,00,090 ,  147555,   30871,   14610,    1309,   44901,   46913,    5674,   16927,   37931,    2249,   15207,    8986,      47,  117185,  117719,   30370,   29836,     385,    2185,    -715,      -6,    -987,    1351,    -131,     692,    3093,    -928,    1240,    1561,    -838,    1227,    3387,    -842,   -3002,  100.0,   20.9,    9.9,    0.9,   30.4,   31.8,    3.8,   11.5,   25.7,    1.5,   10.3,    6.1,    0.0,   79.4,   79.8,   20.6,   20.2,    115,     10,      4,.,     14,     24,      5,     17,     28,     13,     13,      5,.,     63,     74,    31.0,    19.9,    42.3,    30.6,    30.6,    19.9,    40.6,    30.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221101,2022-11-01,090741,CME ,00,090 ,  147170,   28686,   15325,    1315,   45888,   45562,    5805,   16235,   34838,    3177,   13967,    7425,     885,  115958,  114332,   31212,   32838,    3753,    1493,    -995,      90,    1695,    1093,    -237,     693,    2593,     376,     -69,    -607,    -377,    3664,    1936,      89,    1817,  100.0,   19.5,   10.4,    0.9,   31.2,   31.0,    3.9,   11.0,   23.7,    2.2,    9.5,    5.0,    0.6,   78.8,   77.7,   21.2,   22.3,    111,     11,      5,.,     14,     25,      5,     15,     27,     11,     11,.,.,     59,     73,    31.0,    18.0,    42.4,    28.3,    30.7,    18.0,    40.4,    27.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221025,2022-10-25,090741,CME ,00,090 ,  143417,   27193,   16320,    1225,   44193,   44469,    6042,   15542,   32245,    2801,   14036,    8032,    1262,  112294,  112396,   31123,   31021,   -3008,   -1479,    1841,     156,   -1130,    1115,     133,   -1417,   -3742,    -111,    -510,     882,    -265,   -4623,       9,    1615,   -3017,  100.0,   19.0,   11.4,    0.9,   30.8,   31.0,    4.2,   10.8,   22.5,    2.0,    9.8,    5.6,    0.9,   78.3,   78.4,   21.7,   21.6,    111,     10,      6,.,     13,     25,      8,     16,     25,     10,     13,.,.,     61,     73,    29.8,    19.9,    41.6,    30.7,    29.5,    19.9,    39.8,    30.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
